year,month,bills_issued,total_mg,avg_day_kgals,avg_day_kgpcd
2019,1,42210,297.9508954,9576.17463,0.226869809
2019,2,33024,236.2519136,8126.853019,0.246089299
2019,3,60201,386.3608967,16134.57208,0.268011696
2019,4,42570,486.5889193,15767.70517,0.370394766
2019,5,42952,419.4830841,15073.67884,0.35094242
2019,6,43150,593.9303795,20326.6433,0.47106937
2019,7,43526,676.6827983,23166.14998,0.532237053
2019,8,43963,998.8570688,33930.11224,0.771787918
2019,9,43599,1011.418557,33726.64361,0.773564614
2019,10,43698,870.8994033,29206.14928,0.668363524
2019,11,35692,425.1050607,14618.87256,0.409584012
2019,12,52926,460.0626234,15839.99268,0.299285657
2020,1,45193,358.0151136,11930.74016,0.263995313
2020,2,37538,285.6746525,11173.65254,0.297662436
2020,3,53908,394.8436807,13981.79464,0.259364002
2020,4,45512,420.3389301,15270.45181,0.335525835
2020,5,46895,628.6835338,22492.21977,0.47962938
2020,6,46694,779.2040756,25852.90137,0.553666453
2020,7,45676,943.7372018,32736.76499,0.716716985
2020,8,46221,1104.998801,36479.64256,0.789243906
2020,9,46746,883.817337,29743.01113,0.636268582
2020,10,46553,728.0375485,24705.6975,0.530700438
2020,11,47008,695.0987513,23094.10061,0.491280221
2020,12,47745,512.9698335,17630.96366,0.369273508
2021,1,48340,400.3828105,13220.71413,0.273494293
2021,2,46572,329.5909626,12494.00916,0.268272979
2021,3,58554,440.479674,16227.61981,0.277139389
2021,4,49713,575.3924473,19680.98858,0.395892193
2021,5,50097,562.5749291,19288.95344,0.385032107
2021,6,58970,590.3184621,22871.09877,0.38784295
2021,7,50656,662.8536505,22905.71584,0.452181693
2021,8,51270,863.8475072,29104.72321,0.567675506
2021,9,51580,951.7883784,31293.07726,0.606690137
2021,10,51964,754.4584516,26884.39591,0.51736579
2021,11,52098,591.278,20660.57914,0.396571445
2021,12,52255,497.463,16994.86844,0.325229517
2022,1,52775,423.3279101,13891.25428,0.263216566
2022,2,43669,326.2545296,10625.21264,0.243312479
2022,3,62596,461.0402058,17108.03687,0.273308788
2022,4,44857,544.0434021,18350.23563,0.409082989
2022,5,63851,944.8330893,33023.72026,0.517199735
2022,6,55647,1012.062331,35064.67265,0.630126919
2022,7,55626,1176.789032,39459.50803,0.709371661
2022,8,57124,1096.429086,37079.96934,0.649113671
2022,9,57382,818.5451122,28151.56252,0.490599186
2022,10,56453,903.900304,31516.90831,0.558285801
2022,11,55956,648.3637658,24423.89475,0.436483929
2022,12,58369,403.5593532,14951.57142,0.256156032
2023,1,56667,431.1227646,14306.95596,0.252474208
2023,2,56720,441.5687639,15170.19329,0.267457569
2023,3,58322,519.948171,25843.10478,0.443110743
2023,4,59023,640.8293153,22295.21236,0.377737702
2023,5,58874,627.7695725,21728.24651,0.369063534
2023,6,59726,785.7356562,28261.14905,0.473180006
2023,7,27574,791.6355781,27709.84993,1.00492674
